Farm_ID,Farm_Location_Lat,Farm_Location_Lon,Farm_Postcode,Herd_Size,Farm_Type,Farm_Size_Acres,Biosecurity_Score,Cattle_Movement_In_Last_Year,Proximity_To_Other_Farms_Km,Land_Use_Composition_Woodland_Pct,Animal_ID,Animal_Age_Months,Breed,Sex,Origin_Type,Test_Date,Test_Result,Has_TB_History_Farm,Is_In_TB_Hotspot,Avg_Rainfall_3M_Prior_MM,Avg_Temperature_3M_Prior_C,Badger_Density_Score_Local,Proximity_To_Known_Badger_Sett_Km,Days_Since_Last_Test,Test_Season
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,,42.0,9.8,17,FARM_0002_ANIMAL_094,71.0,Holstein,Female,,2021-03-03,Negative,False,False,149,12.536264304127805,Low,54.9,347,March
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_024,56.0,Holstein,Female,Purchased_From_Other_Farm,2022-12-15,Positive,False,False,390,11.31294643240316,Low,54.9,544,December
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_032,148.0,Limousin,Male,Born_On_Farm,2020-02-18,Negative,False,False,213,7.24970918930149,Low,54.9,404,February
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_059,17.0,Jersey,Female,Born_On_Farm,2022-05-25,Negative,False,False,344,16.118084726330846,Low,54.9,521,May
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_063,139.0,Angus,Male,Born_On_Farm,2022-06-09,Negative,False,False,354,6.213039378288719,Low,54.9,405,June
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_060,76.0,Limousin,Male,Purchased_From_Other_Farm,2022-06-27,Negative,False,False,169,16.734070809684113,Low,54.9,468,June
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_064,68.0,Charolais,Male,Born_On_Farm,2020-07-30,Negative,False,False,130,8.589035539326272,Low,54.9,502,July
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_142,25.0,Hereford,Male,Born_On_Farm,2022-12-27,Negative,True,False,205,8.072510137656606,Low,38.9,150,December
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_092,76.0,Angus,Male,Purchased_From_Other_Farm,2022-06-05,Negative,True,False,303,10.125382358897749,Low,38.9,458,June
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_088,30.0,Holstein,Male,Born_On_Farm,2022-12-11,Negative,True,False,126,11.988554536825854,Low,38.9,582,December
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_126,31.0,Jersey,Male,Born_On_Farm,2020-03-13,Negative,True,False,337,14.590048357703294,Low,38.9,531,March
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,,1.6,16,FARM_0003_ANIMAL_005,155.0,,Female,Purchased_From_Other_Farm,2021-09-28,Negative,True,False,146,12.845166310971397,Low,38.9,518,September
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,,1.6,16,FARM_0003_ANIMAL_009,28.0,Hereford,Male,Purchased_From_Other_Farm,2020-03-10,Negative,True,False,304,7.225171245491005,Low,38.9,363,March
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_053,170.0,Limousin,Male,Born_On_Farm,2020-08-23,Negative,True,False,166,9.221067260214468,Low,38.9,271,August
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_065,20.0,Limousin,Female,Born_On_Farm,2021-02-25,Negative,True,False,203,5.476261403634628,Low,38.9,122,February
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_051,75.0,Jersey,Male,Purchased_From_Other_Farm,2022-05-06,Negative,True,False,197,7.561370268023518,Low,38.9,165,May
FARM_0003,55.034692,-6.568428,BT22 5CL,160,Mixed,519,1.0,72.0,1.6,16,FARM_0003_ANIMAL_050,144.0,Jersey,Female,Born_On_Farm,2022-08-28,Negative,True,False,304,7.777319127219025,Low,38.9,401,August
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_053,141.0,Hereford,Male,Born_On_Farm,2020-05-31,Negative,False,False,119,15.968257590443304,Medium,28.0,103,May
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_033,108.0,Angus,Male,Born_On_Farm,2022-05-30,Negative,False,False,151,6.7652305790969,Medium,28.0,425,May
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_103,166.0,Angus,Male,Purchased_From_Other_Farm,2021-03-04,Negative,False,False,265,13.979120701976584,Medium,28.0,274,March
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_091,106.0,Charolais,Male,Born_On_Farm,2020-09-05,Negative,False,False,363,10.542318808398466,Medium,28.0,470,September
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_134,143.0,Limousin,Male,Born_On_Farm,2022-06-15,Negative,False,False,214,11.263762116317007,Medium,28.0,595,June
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_089,58.0,Charolais,Female,Purchased_From_Other_Farm,2020-12-04,Negative,False,False,365,15.823953221076746,Medium,28.0,644,December
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_173,56.0,Hereford,Female,Born_On_Farm,2021-02-28,Negative,False,False,124,6.216489605001691,Medium,28.0,390,February
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_074,9.0,Holstein,Male,Born_On_Farm,2022-04-24,Negative,False,False,277,5.740891432146931,Medium,28.0,430,April
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_045,91.0,Angus,Female,Born_On_Farm,2021-04-24,Negative,False,False,243,10.835570431316004,Medium,28.0,249,April
FARM_0004,55.011621,-6.709273,BT20 7PH,197,Beef,909,5.0,65.0,9.1,0,FARM_0004_ANIMAL_086,108.0,Holstein,Female,,2022-02-25,Negative,False,False,254,15.998363289415964,Medium,28.0,119,February
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_215,21.0,Charolais,Female,Purchased_From_Other_Farm,2021-10-28,Negative,False,False,348,9.571451373652701,Low,62.3,638,October
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_342,148.0,Limousin,Male,Born_On_Farm,2021-08-10,Negative,False,False,257,12.312971668681765,Low,62.3,244,August
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_367,50.0,Hereford,Female,Born_On_Farm,2022-09-05,Negative,False,False,200,13.34850085589047,Low,62.3,314,September
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_110,57.0,Charolais,Female,Born_On_Farm,2021-03-30,Negative,False,False,259,8.888576301071888,Low,62.3,592,March
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_057,124.0,Holstein,Male,Born_On_Farm,2022-12-10,Negative,False,False,101,8.002435540395469,Low,62.3,296,December
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_289,122.0,Charolais,Male,Born_On_Farm,2022-01-27,Negative,False,False,276,5.438996292221977,Low,62.3,323,January
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_100,143.0,Hereford,Female,Born_On_Farm,2022-08-29,Negative,False,False,143,5.942711806511873,Low,62.3,311,August
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_153,137.0,Limousin,Female,Purchased_From_Other_Farm,2020-05-12,Negative,False,False,204,4.954982703059805,Low,62.3,315,May
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_017,55.0,Jersey,Male,,2020-10-10,Negative,False,False,106,10.313414626866553,Low,62.3,591,October
FARM_0005,54.583135,-6.163043,BT16 9OQ,378,Mixed,381,4.0,61.0,4.5,30,FARM_0005_ANIMAL_216,37.0,,Female,Born_On_Farm,2021-01-07,Negative,False,False,199,13.150512029869253,Low,62.3,598,January
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_080,151.0,Jersey,Male,Born_On_Farm,2021-10-05,Negative,False,True,342,16.6691867014354,Low,31.6,109,October
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_331,51.0,Limousin,Male,Purchased_From_Other_Farm,2020-01-30,Positive,False,True,263,13.97748816344613,Low,31.6,258,January
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_216,69.0,Charolais,Female,Born_On_Farm,2022-04-19,Negative,False,True,137,14.184156259938213,Low,31.6,213,April
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_117,26.0,Limousin,Male,Born_On_Farm,2021-05-18,Positive,False,True,303,11.495017869042957,Low,31.6,374,May
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_034,160.0,Limousin,Female,Born_On_Farm,2021-06-26,Negative,False,True,349,4.077348502288304,Low,31.6,96,June
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_208,140.0,Hereford,Male,Born_On_Farm,2022-07-28,Negative,False,True,122,5.299370223323058,Low,31.6,437,July
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_316,103.0,Hereford,Male,Purchased_From_Other_Farm,2020-10-18,Positive,False,True,231,6.226919051422266,Low,31.6,126,October
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_312,98.0,Holstein,Female,Born_On_Farm,2020-11-18,Negative,False,True,296,11.5887077607951,Low,31.6,293,November
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_133,175.0,Holstein,Male,Purchased_From_Other_Farm,2022-05-15,Negative,False,True,281,4.585826514267825,Low,31.6,620,May
FARM_0006,54.475888,-7.03353,BT33 3CZ,353,Mixed,145,4.0,100.0,1.5,20,FARM_0006_ANIMAL_276,87.0,Jersey,Female,Purchased_From_Other_Farm,2021-01-16,Negative,False,True,289,12.353625540781936,Low,31.6,548,January
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_065,83.0,Hereford,Male,Born_On_Farm,2020-03-23,Negative,False,False,321,7.75427676171373,Low,90.2,485,March
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_295,9.0,Angus,,Purchased_From_Other_Farm,2021-09-22,Negative,False,False,343,6.994678023317132,Low,90.2,134,September
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_306,47.0,Jersey,Female,Born_On_Farm,2020-03-21,Negative,False,False,359,10.57578401796278,Low,90.2,507,March
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_188,101.0,Holstein,Female,Purchased_From_Other_Farm,2020-08-16,Negative,False,False,166,17.244616658232136,Low,90.2,117,August
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_069,71.0,Limousin,,Born_On_Farm,2020-07-25,Negative,False,False,175,13.684322527048026,Low,90.2,280,July
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_389,90.0,Hereford,Female,Purchased_From_Other_Farm,2021-05-25,Negative,False,False,362,6.306793640629023,Low,90.2,450,May
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_366,72.0,Angus,Female,Purchased_From_Other_Farm,2020-05-29,Negative,False,False,280,9.305245077187884,Low,90.2,499,May
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_316,110.0,Hereford,Male,Born_On_Farm,2020-08-19,Negative,False,False,381,5.235445976734963,Low,90.2,251,August
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_327,84.0,Holstein,Female,Purchased_From_Other_Farm,2022-10-02,Negative,False,False,145,13.276529745056642,Low,90.2,156,October
FARM_0007,54.079414,-7.715198,BT10 2PU,428,Mixed,370,3.0,26.0,6.3,16,FARM_0007_ANIMAL_162,148.0,Hereford,Female,Purchased_From_Other_Farm,2021-11-03,Negative,False,False,274,6.170821467659995,Low,90.2,493,November
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_191,162.0,Jersey,Male,Born_On_Farm,2020-08-23,Negative,False,False,176,7.808286834727495,Medium,28.8,624,August
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_262,107.0,Jersey,Male,Purchased_From_Other_Farm,2021-02-21,Negative,False,False,277,16.749636989470368,Medium,28.8,178,February
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_113,57.0,Hereford,Female,Born_On_Farm,2021-01-30,Negative,False,False,155,7.537832446463677,Medium,28.8,721,January
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_082,31.0,Jersey,Female,Purchased_From_Other_Farm,2022-01-20,Negative,False,False,341,5.53451537358343,Medium,28.8,105,January
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_088,,Limousin,Male,Purchased_From_Other_Farm,2022-06-20,Negative,False,False,380,5.636175849796128,Medium,28.8,109,June
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_012,159.0,Jersey,Female,Born_On_Farm,2022-02-13,Negative,False,False,178,6.479435764633192,Medium,28.8,281,February
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_146,142.0,Jersey,Female,Purchased_From_Other_Farm,2020-07-29,Negative,False,False,159,17.304555564062568,Medium,28.8,92,July
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_175,15.0,Jersey,Male,Born_On_Farm,2021-11-12,Negative,False,False,313,10.88941640428142,Medium,28.8,669,November
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_127,165.0,Jersey,Male,Born_On_Farm,2022-03-03,Negative,False,False,309,8.136924024631803,Medium,28.8,486,March
FARM_0008,54.88676,-7.44002,BT48 8FR,269,Dairy,829,2.0,38.0,6.1,2,FARM_0008_ANIMAL_110,78.0,Charolais,Female,Born_On_Farm,2020-03-18,Negative,False,False,363,17.694991081065055,Medium,28.8,217,March
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_322,148.0,Holstein,Male,Born_On_Farm,2022-01-26,Negative,False,False,203,6.602489350568342,High,8.9,274,January
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_120,77.0,Holstein,Male,Purchased_From_Other_Farm,2022-02-12,Negative,False,False,148,11.23346825385499,High,8.9,377,February
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,,6.6,16,FARM_0009_ANIMAL_096,52.0,Jersey,Female,Born_On_Farm,2021-08-20,Negative,False,False,249,17.088952612478643,High,8.9,400,August
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_318,100.0,Charolais,Male,Born_On_Farm,2021-10-13,Negative,False,False,374,4.892380338073824,High,8.9,331,October
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_340,123.0,Charolais,Female,Purchased_From_Other_Farm,2021-02-25,Negative,False,False,249,14.200250322127282,High,8.9,373,February
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_351,118.0,Jersey,Female,Born_On_Farm,2022-09-23,Negative,False,False,276,4.330813356230898,High,8.9,168,September
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_033,73.0,Charolais,Male,Born_On_Farm,2022-05-14,Negative,False,False,327,14.481007587334636,High,8.9,227,May
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_156,88.0,Limousin,Male,Born_On_Farm,2022-03-31,Negative,False,False,122,12.691042876634604,High,8.9,297,March
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_283,130.0,Charolais,,Born_On_Farm,2021-08-11,Negative,False,False,247,4.959866428192603,High,8.9,174,August
FARM_0009,54.739649,-6.999722,BT22 2NJ,370,Mixed,343,2.0,68.0,6.6,16,FARM_0009_ANIMAL_252,97.0,Holstein,Male,Purchased_From_Other_Farm,2022-12-12,Negative,False,False,151,15.894476361319335,High,8.9,115,December
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_069,19.0,Charolais,Male,Born_On_Farm,2020-09-30,Negative,False,False,306,4.086683335672232,Low,54.1,201,September
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_223,180.0,Hereford,Female,Born_On_Farm,2022-06-01,Negative,False,False,110,6.881029317743662,Low,54.1,484,June
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_127,144.0,Charolais,Female,Born_On_Farm,2022-06-08,Negative,False,False,232,11.905589211655604,Low,54.1,492,June
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_298,123.0,Holstein,Male,Born_On_Farm,2022-07-02,Negative,False,False,186,6.930193389080303,Low,54.1,642,July
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_184,141.0,Charolais,Female,Born_On_Farm,2021-06-02,Negative,False,False,393,14.114678176777907,Low,54.1,215,June
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_041,171.0,Holstein,Female,Born_On_Farm,2020-12-18,Negative,False,False,112,5.6171589794191705,Low,54.1,679,December
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_118,74.0,Holstein,Male,Born_On_Farm,2021-01-04,Negative,False,False,218,10.353513047799986,Low,54.1,301,January
FARM_0010,54.611729,-6.24422,BT78 8KY,346,Mixed,255,5.0,106.0,7.1,29,FARM_0010_ANIMAL_199,60.0,Jersey,Male,Purchased_From_Other_Farm,2022-09-19,Negative,False,False,237,17.164727285039625,Low,54.1,495,September
